title,year_created,festival,description,source_description,artist_id,status,id,location,adress,images,updated_at
Кинокартина,2023,STENOGRAFFIA,"Арт-объект «Кинокартина» рассказывает о процессе создания сериала от момента задумки и до финала. В длинной бетонной ленте вы встретите сценариста с кофе, актеров в гримерке, съемки на фоне хромакея, режиссера с хлопушкой и многих других.

При создании работы Алексей вдохновился магией кино: благодаря огромному числу людей рождается общий и целостный продукт. Не менее воодушевляющим художнику показалось, что сейчас мы можем смотреть результат совместного творчества буквально где угодно. Для этого не нужно идти в кинотеатр, достаточно достать любой гаджет

Арт-объект появился благодаря инициативе онлайн-кинотеатра Premier. Они предложили нам провести еще одну добрую акцию «Люди рисуют» и преобразить забор. А рисовал весь город вместе с актрисой Анастасией Чистяковой. В этот же день мы встретились с ней в МЕГЕ. Поговорили по душам и посмотрели премьерную серию второго сезона «Территория», в котором Анастасия сыграла одну из главных ролей.

Эта работа показывает, что за чем-то, что кажется простым и понятным, стоит огромное количество людей. За каждым фильмом — целая команда актеров, режиссеров, сценаристов, звукорежиссеров, гримеров и других. А за одним арт-объектом — большой город

Сделано в рамках акции ""Люди рисуют""",https://vk.com/wall-17497334_17987,Алексей Грабилин,,,56.842408° 60.609352°,Первомайская 18,"https://sun9-18.userapi.com/impg/jXqLChumEJu9fzsRxPb3YozSdNx0SS28mi1gsg/GfA9HKqUsyU.jpg?size=2560x1707&quality=95&sign=c21a65a526bef712077bacfd0712bd6e&type=album
https://sun9-16.userapi.com/impg/SrtM_nwyKu3z3JOjVBfzG0Ytpzaw3vLmHqtS0A/ixtbNwZtxG4.jpg?size=2560x1707&quality=95&sign=0f4f6a560b660bfe15fa0f9e545cdd02&type=album
https://sun9-30.userapi.com/impg/davA0RqjyCustxv1uOWyVujulGYg8dUFF6KJVg/3QxYRJyMqgM.jpg?size=2560x1707&quality=95&sign=fc343ae5834fea9f7ef7bf0f081ad3c7&type=album
https://sun9-65.userapi.com/impg/GyJn964tcO8AZReHorm4sAByi0vL-ObW0_f76A/SZh4hyONDFs.jpg?size=2560x1707&quality=95&sign=ea85f544d735401fe302103d15413f8f&type=album
https://sun9-6.userapi.com/impg/0Rqvbep-t1A5gcYGg3NaSGdIQkaVHTrYfa0stA/pQyUhqZ4n6s.jpg?size=2560x1707&quality=95&sign=e687decd3a38002e2ee073e7d0e9efd1&type=album
https://sun9-10.userapi.com/impg/VUuqU6YTl72UmWlAQtLVUd6u9gMuC0TZGygqxA/WWS-ET-bAUU.jpg?size=2560x1707&quality=95&sign=fb9276a4ffb5668a6021d5e8e0e069b9&type=album
",
Чистая энергия,2023,STENOGRAFFIA,"Сделано в рамках проекта ""Ночная галерея""",https://vk.com/wall-17497334_17919,DIMASW,,,56.829743° 60.584968°,Радищева 28,"https://sun9-29.userapi.com/impg/tixjwz-9PnqP60h_lBS65NI5qKVYSgTcgU715Q/eILyJ5rCFpA.jpg?size=2560x1707&quality=95&sign=8ff249c7c80b5027f0e80bf6e971cdb2&type=album
https://sun9-70.userapi.com/impg/02ggNmb6Z5GVofKz-aDNTff0PB49XNNYbXIp8A/4yZBVlWftfY.jpg?size=2560x1707&quality=95&sign=094d03aa66c8c73be9d58089f849f43a&type=album
https://sun9-75.userapi.com/impg/2G5Imu4BEgkbzUIdLMGvM8bNuqFw7CrgzxN7UQ/WH4oozISo9s.jpg?size=2560x1707&quality=95&sign=2637613d9a64b99d665c8ef55903d552&type=album
https://sun9-12.userapi.com/impg/MkDNcr_RU23oJAl4-t_lfO5fFkysm1fqrfpM3g/O9_Vy8oWPTA.jpg?size=2560x1707&quality=95&sign=c8b7a567348f33f00f1bb880ee8e38cc&type=album",
Портреты на заказ,2023,STENOGRAFFIA,"Студенты Школы Дизайна НИУ ВШЭ – Санкт-Петербург под кураторством Андрея Люблинского смогли это сделать и нарисовали портреты горожан.

«Арт-объект создавали в наивной стилистике. Я, как автор эскиза, выбрала именно такую, чтобы каждый смог увидеть себя в этих изображениях», — рассказала Ирина Воронина.

Проект поддержала команда IT-компании «ЦСБ Контроль». По их мнению, жители города как прототип портретов – фиксация временного среза текущей жизни Екатеринбурга.

«В нашем городе уникальная архитектура, как будто маленький ребенок в компьютерном симуляторе строил на скорую руку этот город и решил намешать абсолютно разные временные промежутки стилистики архитектуры. В этом есть определенная наивность и здорово, что именно в стиле наивного рисунка, мы рисовали жителей города вместе с художниками!», – поделились сотрудники «ЦСБ Контроль».",https://vk.com/wall-17497334_17887,Андрей Люблинский / Анастасия Вокина,,,56.848188° 60.590819°,Олимпийская набережная 7,"https://sun3-22.userapi.com/impg/1JQCvzAMG4_E8ZnD9-lrx_eX6d4XSJ-R_x7ofQ/2-Nf9H52_og.jpg?size=2560x1707&quality=96&sign=30672e58ef78e2ba6199e3430ac26b0c&type=album
https://sun9-21.userapi.com/impg/Zs2svmPUePfR8QDTEU056nVSUvYHjHUZkrxEwA/2N7Ow1VP5QI.jpg?size=2560x1708&quality=96&sign=b0bcddcd78aa2d3d264c7826b814bac6&type=album
https://sun9-40.userapi.com/impg/6PPSNUoqqPr0nBUcmctTp_34GoDyxepUmhTlgQ/-FSzHgepwfQ.jpg?size=2560x1708&quality=96&sign=333af464fc67ef182d4099a3c2726d4d&type=album
https://sun9-44.userapi.com/impg/MY4UEAWK0QeGUWxQDELqXWSjgvm5b_eCleq4ZQ/Nne1aP5AULA.jpg?size=2560x1707&quality=96&sign=771b7905d74d7af9d9f517a9b82d87e4&type=album
https://sun9-77.userapi.com/impg/a9piaAC-j2ZFS5kkwxSuuRuCHVVQaqNiTF5Gng/XaxfsKoyQ3U.jpg?size=2560x1708&quality=96&sign=93be8206e5e0c9125df7fe7e19a0316b&type=album
https://sun9-39.userapi.com/impg/z_n0DW_AU-yXjVNi_omnKnibX2fKZwycJ1amxg/Tu8pF2zgHmE.jpg?size=2560x1708&quality=96&sign=9fc47172b1d55ce7e456266906c0a5fb&type=album",
Орнаменты Урала,2023,STENOGRAFFIA,"На фасадах киосков «Роспечати» художница поместила паттерны уральских народностей: татар, башкир, удмуртов, коми-зырян и марийцев. Она особенно тщательно подбирала цвета, формы и смыслы, чтобы достоверно перенести на поверхность орнамент каждой культуры. Помогли все точно изобразить представители общин, которые не только консультировали, но и рисовали. По словам Анастасии, «Городская энциклопедия узоров» — это большая коллективная работа 

Сделано в рамках проекта ""Ночная галерея""",https://vk.com/wall-17497334_17878,Анастасия Пищугина,,,56.840491° 60.65197°,Мира 23,"https://sun9-57.userapi.com/impg/emHt-1qDX0A5-AWvCTotBR67k58SSK1aboQpXw/hBiFY6Pa66Q.jpg?size=2560x1707&quality=96&sign=5ce2f6056bce382350a92d6c1a31679d&type=album
https://sun9-29.userapi.com/impg/IieJwGZiJ1YUWjLIEUmN7QQCUpPgFsUGPJxaUQ/Ap5mRlrD9R8.jpg?size=2560x1707&quality=96&sign=75c9dae5608c1213a10ff4aa267d493a&type=album",
Орнаменты Урала,2023,STENOGRAFFIA,"На фасадах киосков «Роспечати» художница поместила паттерны уральских народностей: татар, башкир, удмуртов, коми-зырян и марийцев. Она особенно тщательно подбирала цвета, формы и смыслы, чтобы достоверно перенести на поверхность орнамент каждой культуры. Помогли все точно изобразить представители общин, которые не только консультировали, но и рисовали. По словам Анастасии, «Городская энциклопедия узоров» — это большая коллективная работа 

Сделано в рамках проекта ""Ночная галерея""",https://vk.com/wall-17497334_17878,Анастасия Пищугина,,,56.839819° 60.646019°,Гагарина 22,,
Орнаменты Урала,2023,STENOGRAFFIA,"На фасадах киосков «Роспечати» художница поместила паттерны уральских народностей: татар, башкир, удмуртов, коми-зырян и марийцев. Она особенно тщательно подбирала цвета, формы и смыслы, чтобы достоверно перенести на поверхность орнамент каждой культуры. Помогли все точно изобразить представители общин, которые не только консультировали, но и рисовали. По словам Анастасии, «Городская энциклопедия узоров» — это большая коллективная работа 

Сделано в рамках проекта ""Ночная галерея""",https://vk.com/wall-17497334_17878,Анастасия Пищугина,,,56.845633° 60.644033°,Гагарина 10,,
Орнаменты Урала,2023,STENOGRAFFIA,"На фасадах киосков «Роспечати» художница поместила паттерны уральских народностей: татар, башкир, удмуртов, коми-зырян и марийцев. Она особенно тщательно подбирала цвета, формы и смыслы, чтобы достоверно перенести на поверхность орнамент каждой культуры. Помогли все точно изобразить представители общин, которые не только консультировали, но и рисовали. По словам Анастасии, «Городская энциклопедия узоров» — это большая коллективная работа 

Сделано в рамках проекта ""Ночная галерея""",https://vk.com/wall-17497334_17878,Анастасия Пищугина,,,56.843111° 60.643959°,Ленина 97,,
Орнаменты Урала,2023,STENOGRAFFIA,"На фасадах киосков «Роспечати» художница поместила паттерны уральских народностей: татар, башкир, удмуртов, коми-зырян и марийцев. Она особенно тщательно подбирала цвета, формы и смыслы, чтобы достоверно перенести на поверхность орнамент каждой культуры. Помогли все точно изобразить представители общин, которые не только консультировали, но и рисовали. По словам Анастасии, «Городская энциклопедия узоров» — это большая коллективная работа 

Сделано в рамках проекта ""Ночная галерея""",https://vk.com/wall-17497334_17878,Анастасия Пищугина,,,56.843377° 60.645589°,Ленина 103,,
8 утра,2023,STENOGRAFFIA,"Теперь в арт-объекте мы видим типичную утреннюю картину: 8 утра, метро и люди, замершие в ожидании, когда поезд довезет их на нужную станцию. Интересный факт: герои арт-объекта — реальные люди. Это друзья художницы, знакомые и случайные прохожие. Заглядывайте посмотреть на арт-объект, может, именно ваш образ стал частью мурала!

«Мне кажется, что это крутой опыт в плане взаимодействия со зрителями. Когда ты пишешь картину у себя в мастерской, ты ее показываешь на выставке, кто-то ее увидит или не увидит. А тут арт-объект, который будет постоянно на виду. У меня были случаи, что в картине, например, узнавали своего друга», — поделилась Мария Нурматова.

А еще художнице посчастливилось пройти своеобразное «крещение» улицами. Не успела Маша закончить работу, как на ней появились теги. Но автор стойко встретилась с характером субкультуры и терпеливо поправила работу. Однако по сей день «8 утра» не оставляет художников равнодушными.",https://vk.com/wall-17497334_17830,Мария Нурматова,,,56.83571° 60.601309°,8 марта 15,"https://sun9-72.userapi.com/impg/0wFUHvsBkT3Eg5LtV5ROHU0W4CVTu9KY88Rhnw/GI2p8GcK13I.jpg?size=2560x1707&quality=95&sign=c5bef2b6433c4fb12e02cf01b49caa58&type=album
https://sun9-59.userapi.com/impg/fUWSLnGnn1IeJUSHNqPQewjOf6J6-46aABtbQA/s5kDsR9FJ9A.jpg?size=2560x1707&quality=95&sign=ca108aba53ff488d21b2bca7e727b99d&type=album
https://sun9-9.userapi.com/impg/YfBSqrzpgvUWLhyOBJIR4Ol1gkSPDD6XhZ1ZJA/IYZwnoG7DyU.jpg?size=2560x1707&quality=95&sign=288ae22336fee11d41dfe4ed8d7148d2&type=album
https://sun9-64.userapi.com/impg/D_CvunrYYWO2r6Bgzg2N3w0b6gZ-ear3BOdadg/AMc9ua5tfuw.jpg?size=2560x1707&quality=95&sign=124f27529951199be46ec4937c3fd178&type=album",
Люди рисуют,2023,STENOGRAFFIA,"В арт-объекте вы встретите утенка, белочку, улитку, лягушку, мышонка и милую божью коровку. Именно они во главе с ежиком красят окружающий мир. Так же, как и все собравшиеся на акции «Люди рисуют». Жители дома и просто неравнодушные горожане объединились, чтобы сделать этот мир лучше. А это самое прекрасное, что только может быть.

Сделано в рамках акции ""Люди рисуют""",https://vk.com/wall-17497334_17823,Саша Селфея,,,56.894331° 60.632217°,Баумана 31,"https://sun9-49.userapi.com/impg/usJoDNbAyIMyc6BJ72CSrg7dDziPPyQja3SbJQ/ZxmElMZVRls.jpg?size=2560x1707&quality=95&sign=5fcbb86522ba9d08b86857ee4e89e34b&type=album
https://sun9-61.userapi.com/impg/6fjHDx0dZiR7tvJrFBxghHnirorV5bv15DRYgQ/6fRp7pk2XCI.jpg?size=2560x1707&quality=95&sign=1400c1c8dc7e20084a8e6fb1b7b72ffa&type=album
https://sun9-48.userapi.com/impg/5bcKh82d_gpPCW2OI-Vk1kh8ywcWv4CARYfnRA/ILmz3PXqaC8.jpg?size=2560x1707&quality=95&sign=8c2325f77d1c4f9b74c1740d1733513d&type=album
https://sun9-64.userapi.com/impg/5ygefsWrPWRSl52HT6hPH9j6iiAquV0mVtXGEA/EECsDONDwvc.jpg?size=2560x1707&quality=95&sign=782d901bfe7c9766fcb6285a91f4100d&type=album",
Гараж,2023,STENOGRAFFIA,"В этой работе контекст сыграл особенно большую роль. Даша заметила, что стена не особо заметна и примечательна для прохожих. Поэтому решила создать ритмичный рисунок, который сопровождал бы людей во время прогулки.

«Одновременно держала мысль о том, что рядом находятся детский садик и школа. Мне бы хотелось, чтобы рисунок радовал детей!», — поделилась Даша.

В сюжете работы изображено то, что находится вокруг — машины, деревья, цветы. Каждый элемент находится в отдельном сегменте, имитируя принцип деления гаражей. Как будто все на своей полочке. Даже становится интересно, как все расположено внутри гаража — есть пространство для фантазии.

Вся работа как мозаика собрана из геометрических фигур, где каждый элемент на своем месте. Они последовательно сменяют друг друга в тщательно выстроенной динамике сюжета. Создается ощущение повторяющегося вида из окна машины во время движения!",https://vk.com/wall-17497334_17792,Даша Чухрова,,,56.905846° 60.602724°,Коммунистическая 4,"https://sun9-49.userapi.com/impg/9kMUHhwzJNCQ6nMe07zeMla03BWgVHnlxS2bCw/coVZEPcwH9o.jpg?size=2560x1707&quality=96&sign=3f56d56ece643a6fec0d21e0c78ef5a6&type=album
https://sun9-30.userapi.com/impg/_vA8X9QMBzwQmC2hWT8b1rlu-8nsXhTU_1R-9w/HIaOYyRxlWs.jpg?size=2560x1707&quality=96&sign=4475ff8b1d664e99dfd84c341c2e3ab7&type=album
https://sun9-2.userapi.com/impg/1z8u2H0a5ZlgbNGoK7pxdlmIHk14ls1to-Vtsw/I3jYZ0I_Vxo.jpg?size=2560x1707&quality=96&sign=e46d7b6f2b1bf8be5d8b7f8837cd13a3&type=album
https://sun9-15.userapi.com/impg/7jgtmMa3GQ1QnrMi_RwRV7zZZH0a7ry7j1S0jw/0JG1S-6EP4s.jpg?size=2560x1707&quality=96&sign=b252ee69d889d06b68e10bf00f726a87&type=album
https://sun9-64.userapi.com/impg/qx6iViBOseKrBij1PpsB0g-8iRAfo96OkZq5tg/ee1X0mvoQkg.jpg?size=2560x1707&quality=96&sign=33f84c9a30ef3e241fb31f7b70d14311&type=album",
Холоффэйм,2023,STENOGRAFFIA,"Авторы защитили инфраструктурные объекты от вандализма с помощью тегов. Что удивительно — теги обычно воспринимаются горожанами как «уличная грязь». Здесь же наоборот паттерн из имен художников и названий граффити-команд, словно причудливый ковер, обнимает остановки и защищает их от вмешательства чужой руки. Теперь хаотичный визуальный шум сменился на лаконичный черно-белый рисунок.

«С командой DESTROYERS мы решили эстетизировать это явление, превратив большое количество тэгов граффити-райтеров в паттерн, эстетичную вязь из букв. Остановки, в свою очередь, мы сделали холоффэймом (залом славы) для граффитчиков. Что важно понимать: в этой субкультуре не принято красить поверх того, что по оценке граффити-сообщества сделано хорошо и качественно. Также редко можно встретиться с тем, когда кто-то рисует поверх уважаемых в этой среде райтеров. Ну и не имеет смысла перекрашивать то, где тебя и так отметили. А имен на эти четыре остановки влезло огромное количество. Из этих трех условий и состоит наш граффити-оберег», — поделился художник команды SPEKTR Андрей Колоколо",https://vk.com/wall-17497334_17769,SPEKTR / DESTROYERS ,,,56.847146° 60.609292°,Остановка ТЮЗ,"https://sun9-6.userapi.com/impg/H62rtYc2wT3hrHDJPIvH4WsSOMzcG5RXbILjWQ/DQbg7BrdTRk.jpg?size=2560x1708&quality=95&sign=0687287836004d6cc2c4dcc63b491ce8&type=album
https://sun9-78.userapi.com/impg/O7bFQJf4ewdwF9CJai0VoaqPNjUy-0VWACb8ng/oaoziLYBI6Q.jpg?size=2560x1708&quality=95&sign=807330ad2dd105714c03298cc7d2c331&type=album
https://sun9-74.userapi.com/impg/T8eYKZ5NpcyuiTRMLypd1pxG44FT8Ku5vB689Q/5A4QgVf2CG0.jpg?size=2560x1708&quality=95&sign=081cdb6b0001c57fe0a4a2313ec7cf0d&type=album
https://sun9-16.userapi.com/impg/B9JipEcwg9O2unK9aENL8VZuXzjbMSsBc3lrfQ/B2juUJq2eLQ.jpg?size=2560x1708&quality=95&sign=1722d0f485b71845f577ad68d097af1a&type=album
https://sun9-21.userapi.com/impg/IqnwBywm6F6LFXovJqJI5q_Z1O9JAzulDPmWmg/UHD2Ea_7A3k.jpg?size=2560x1708&quality=95&sign=b7a6c9791daa8408837125c3ce9b8d75&type=album
https://sun9-22.userapi.com/impg/hvc7lvV7vnMOwX0gLBNNQIpgSwSfm0PORGxQ-g/hh8eA8UoIig.jpg?size=2560x1708&quality=95&sign=2447a7dba7257adadef5a9bf88dfb873&type=album
https://sun9-58.userapi.com/impg/E0NsSKg-uFv5guSOqC_y9Ge0jNL-KbPGV-S_hQ/211I-2QA6VU.jpg?size=2560x1708&quality=95&sign=17cce907afaead4cb5b787c714557c43&type=album",
